,SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE042020,POPESTIMATE2020
3,162,48,0,35000,0,0,0,A,Houston city,Texas,2099451,2092919,2097647,2123298,2158700,2196367,2238653,2283616,2306360,2313079,2314478,2315720,2317660,2316120
6,162,48,0,65000,0,0,0,A,San Antonio city,Texas,1327407,1326819,1332966,1357807,1383810,1409091,1436214,1464839,1488500,1511566,1530829,1547256,1563262,1567118
8,162,48,0,19000,0,0,0,A,Dallas city,Texas,1197816,1197672,1200360,1218214,1241950,1258580,1278737,1300859,1323587,1342275,1341692,1343192,1344223,1343266
10,162,48,0,5000,0,0,0,A,Austin city,Texas,790390,801862,806214,828569,854656,875241,901463,921452,939778,951610,962800,978763,991830,995484
11,162,48,0,27000,0,0,0,A,Fort Worth city,Texas,741206,744800,748419,764124,781032,796050,815021,835305,855947,874297,892615,908491,923509,927720
21,162,48,0,24000,0,0,0,A,El Paso city,Texas,649121,648079,650482,664141,674588,674362,676664,675561,679001,679978,678552,680028,681700,681534
48,162,48,0,4000,0,0,0,A,Arlington city,Texas,365438,365125,365920,370284,375667,378986,382751,388750,394323,396993,397903,398930,399110,398864
59,162,48,0,17000,0,0,0,A,Corpus Christi city,Texas,305215,305202,305254,308090,312388,317052,320787,324710,325851,325615,326406,326570,327301,327248
67,162,48,0,58016,0,0,0,A,Plano city,Texas,259841,259860,261240,267065,272382,274781,278324,284002,287621,288155,289410,287803,290609,291296
79,162,48,0,41464,0,0,0,A,Laredo city,Texas,236091,235781,236801,241138,245620,249450,252522,254994,257600,258999,260453,262200,263481,263640
83,162,48,0,45000,0,0,0,A,Lubbock city,Texas,229573,229944,231108,233965,236426,239800,244469,248081,251567,254654,256845,259344,261948,262611
92,162,48,0,37000,0,0,0,A,Irving city,Texas,216290,216285,216858,219843,225713,228893,232513,237110,239829,240563,241394,239674,240777,240916
93,162,48,0,29000,0,0,0,A,Garland city,Texas,226876,226857,227292,229983,233606,234547,235457,237011,236181,238216,241616,239782,238711,238139
108,162,48,0,27684,0,0,0,A,Frisco city,Texas,116989,117159,118191,123521,128462,136831,145021,154466,164365,177961,188810,200907,207840,209980
110,162,48,0,45744,0,0,0,A,McKinney city,Texas,131117,131154,132940,137946,143541,149251,157203,163682,173801,182386,192205,199447,206202,208272
